County Name,Facility_Name,Full_Address,State,Total
WAYNE,SINAI-GRACE HOSPITAL,"6071 W OUTER DRIVE,DETROIT,WAYNE,MI",MI,2320654
OAKLAND,ST JOSEPH MERCY OAKLAND,"44405 WOODWARD AVE,PONTIAC,OAKLAND,MI",MI,997021
GRATIOT,MIDMICHIGAN MEDICAL CENTER-GRATIOT,"300 E WARWICK DR,ALMA,GRATIOT,MI",MI,6383
ST. CLAIR,LAKE HURON MEDICAL CENTER,"2601 ELECTRIC AVENUE,PORT HURON,ST. CLAIR,MI",MI,189468
MONTCALM,SPECTRUM HEALTH UNITED HOSPITAL,"615 S BOWER STREET,GREENVILLE,MONTCALM,MI",MI,7244
ALPENA,MIDMICHIGAN MEDICAL CENTER - ALPENA,"1501 W CHISHOLM ST,ALPENA,ALPENA,MI",MI,9188
HILLSDALE,HILLSDALE HOSPITAL,"168 S HOWELL STREET,HILLSDALE,HILLSDALE,MI",MI,16855
KENT,SPECTRUM HEALTH - BUTTERWORTH CAMPUS,"100 MICHIGAN ST NE,GRAND RAPIDS,KENT,MI",MI,585984
BAY,MCLAREN BAY REGION,"1900 COLUMBUS AVE,BAY CITY,BAY,MI",MI,61805
WASHTENAW,UNIVERSITY OF MICHIGAN HEALTH SYSTEM,"1500 E MEDICAL CENTER DRIVE, SPC 5474,ANN ARBOR,WASHTENAW,MI",MI,147613
MACOMB,HENRY FORD MACOMB HOSPITAL,"15855 NINETEEN MILE RD,CLINTON TOWNSHIP,MACOMB,MI",MI,676075
WAYNE,HENRY FORD HOSPITAL,"2799 W GRAND BLVD,DETROIT,WAYNE,MI",MI,2320654
MARQUETTE,MARQUETTE GENERAL HOSPITAL,"850 W BARAGA AVE,MARQUETTE,MARQUETTE,MI",MI,7208
DICKINSON,DICKINSON COUNTY MEMORIAL HOSPITAL,"1721 S STEPHENSON AVE,IRON MOUNTAIN,DICKINSON,MI",MI,11677
KENT,MERCY HEALTH SAINT MARY'S,"200 JEFFERSON AVENUE SE,GRAND RAPIDS,KENT,MI",MI,585984
MUSKEGON,MERCY HEALTH HACKLEY CAMPUS,"1700 CLINTON STREET,MUSKEGON,MUSKEGON,MI",MI,58787
LIVINGSTON,SAINT JOSEPH MERCY LIVINGSTON HOSPITAL,"620 BYRON RD,HOWELL,LIVINGSTON,MI",MI,63050
SAGINAW,COVENANT MEDICAL CENTER,"1447 N HARRISON,SAGINAW,SAGINAW,MI",MI,100987
OAKLAND,STRAITH HOSPITAL FOR SPECIAL SURGERY,"23901 LAHSER,SOUTHFIELD,OAKLAND,MI",MI,997021
OTTAWA,HOLLAND COMMUNITY HOSPITAL,"602 MICHIGAN AVE,HOLLAND,OTTAWA,MI",MI,88469
SAGINAW,ASCENSION ST MARY'S HOSPITAL,"800 S WASHINGTON AVENUE,SAGINAW,SAGINAW,MI",MI,100987
BERRIEN,LAKELAND HOSPITAL WATERVLIET,"400 MEDICAL PARK DR,WATERVLIET,BERRIEN,MI",MI,69826
ISABELLA,MCLAREN CENTRAL MICHIGAN,"1221 SOUTH DRIVE,MOUNT PLEASANT,ISABELLA,MI",MI,9378
WEXFORD,MUNSON HEALTHCARE CADILLAC HOSPITAL,"400 HOBART ST,CADILLAC,WEXFORD,MI",MI,1987
VAN BUREN,BRONSON SOUTH HAVEN HOSPITAL,"955 S BAILEY AVE,SOUTH HAVEN,VAN BUREN,MI",MI,20284
WAYNE,BEAUMONT HOSPITAL - GROSSE POINTE,"468 CADIEUX RD,GROSSE POINTE,WAYNE,MI",MI,2320654
JACKSON,HENRY FORD ALLEGIANCE HEALTH,"205 N EAST AVE,JACKSON,JACKSON,MI",MI,269410
MECOSTA,SPECTRUM HEALTH BIG RAPIDS HOSPITAL,"605 OAK STREET,BIG RAPIDS,MECOSTA,MI",MI,2366
OGEMAW,MIDMICHIGAN MEDICAL CENTER-WEST BRANCH,"2463 SOUTH M-30,WEST BRANCH,OGEMAW,MI",MI,2482
ST. JOSEPH,STURGIS HOSPITAL,"916 MYRTLE AVE,STURGIS,ST. JOSEPH,MI",MI,145323
GRAND TRAVERSE,MUNSON MEDICAL CENTER,"1105 SIXTH STREET,TRAVERSE CITY,GRAND TRAVERSE,MI",MI,4017
MONROE,PROMEDICA MONROE REGIONAL HOSPITAL,"718 N MACOMB ST,MONROE,MONROE,MI",MI,587834
IOSCO,TAWAS ST JOSEPH HOSPITAL,"200 HEMLOCK,TAWAS CITY,IOSCO,MI",MI,8142
WAYNE,HARPER UNIVERSITY HOSPITAL,"3990 JOHN R STREET,DETROIT,WAYNE,MI",MI,2320654
EMMET,MCLAREN NORTHERN MICHIGAN,"416 CONNABLE AVE,PETOSKEY,EMMET,MI",MI,6071
HOUGHTON,UP HEALTH SYSTEM PORTAGE,"500 CAMPUS DRIVE,HANCOCK,HOUGHTON,MI",MI,889
MASON,SPECTRUM HEALTH LUDINGTON HOSPITAL,"ONE N ATKINSON DRIVE,LUDINGTON,MASON,MI",MI,15099
KALAMAZOO,BORGESS MEDICAL CENTER,"1521 GULL ROAD,KALAMAZOO,KALAMAZOO,MI",MI,78599
HURON,MCLAREN THUMB REGION,"1100 S VAN DYKE RD,BAD AXE,HURON,MI",MI,14249
SHIAWASSEE,MEMORIAL HEALTHCARE,"826 WEST KING STREET,OWOSSO,SHIAWASSEE,MI",MI,22687
OAKLAND,"BEAUMONT HOSPITAL, ROYAL OAK","3601 W THIRTEEN MILE RD,ROYAL OAK,OAKLAND,MI",MI,997021
GENESEE,HURLEY MEDICAL CENTER,"ONE HURLEY PLAZA,FLINT,GENESEE,MI",MI,242523
OTSEGO,MUNSON HEALTHCARE OTSEGO MEMORIAL HOSPITAL,"825 N CENTER AVE,GAYLORD,OTSEGO,MI",MI,18372
GENESEE,MCLAREN FLINT,"401 S BALLENGER HIGHWAY,FLINT,GENESEE,MI",MI,242523
WAYNE,BEAUMONT HOSPITAL - WAYNE,"33155 ANNAPOLIS AVE,WAYNE,WAYNE,MI",MI,2320654
WASHTENAW,FOREST HEALTH MEDICAL CENTER,"135 S PROSPECT ST,YPSILANTI,WASHTENAW,MI",MI,147613
WAYNE,HENRY FORD WYANDOTTE HOSPITAL,"2333 BIDDLE AVE,WYANDOTTE,WAYNE,MI",MI,2320654
OAKLAND,BEAUMONT HOSPITAL - FARMINGTON HILLS,"28050 GRAND RIVER AVENUE,FARMINGTON HILLS,OAKLAND,MI",MI,997021
WASHTENAW,ST JOSEPH MERCY HOSPITAL,"5301 E HURON RIVER DR,ANN ARBOR,WASHTENAW,MI",MI,147613
WAYNE,ASCENSION ST JOHN HOSPITAL,"22101 MOROSS RD,DETROIT,WAYNE,MI",MI,2320654
INGHAM,MCLAREN GREATER LANSING,"401 W GREENLAWN AVE,LANSING,INGHAM,MI",MI,76950
OTTAWA,NORTH OTTAWA COMMUNITY HEALTH SYSTEM,"1309 SHELDON RD,GRAND HAVEN,OTTAWA,MI",MI,88469
WAYNE,BEAUMONT HOSPITAL - TRENTON,"5450 FORT STREET,TRENTON,WAYNE,MI",MI,2320654
LAPEER,MCLAREN LAPEER REGION,"1375 N MAIN ST,LAPEER,LAPEER,MI",MI,22484
MACOMB,ASCENSION MACOMB OAKLAND HOSP-WARREN CAMPUS,"11800 EAST TWELVE MILE ROAD,WARREN,MACOMB,MI",MI,676075
GENESEE,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,"ONE GENESYS PARKWAY,GRAND BLANC,GENESEE,MI",MI,242523
OAKLAND,MCLAREN OAKLAND,"50 N PERRY ST,PONTIAC,OAKLAND,MI",MI,997021
MONTCALM,SPARROW CARSON HOSPITAL,"406 EAST ELM ST,CARSON CITY,MONTCALM,MI",MI,7244
ST. CLAIR,MCLAREN PORT HURON,"1221 PINE GROVE AVE,PORT HURON,ST. CLAIR,MI",MI,189468
MIDLAND,MIDMICHIGAN MEDICAL CENTER-MIDLAND,"4000 WELLNESS DRIVE,MIDLAND,MIDLAND,MI",MI,45923
MACOMB,MCLAREN MACOMB,"1000 HARRINGTON ST,MOUNT CLEMENS,MACOMB,MI",MI,676075
INGHAM,EDWARD W SPARROW HOSPITAL,"1215 E MICHIGAN AVENUE,LANSING,INGHAM,MI",MI,76950
KENT,METRO HEALTH HOSPITAL,"5900 BYRON CENTER AVENUE, SW,WYOMING,KENT,MI",MI,585984
ST. CLAIR,ASCENSION RIVER DISTRICT HOSPITAL,"4100 RIVER RD,EAST CHINA,ST. CLAIR,MI",MI,189468
WAYNE,GARDEN CITY HOSPITAL,"6245 INKSTER RD,GARDEN CITY,WAYNE,MI",MI,2320654
OAKLAND,CRITTENTON HOSPITAL MEDICAL CENTER,"1101 W UNIVERSITY DRIVE,ROCHESTER,OAKLAND,MI",MI,997021
WASHTENAW,ST JOSEPH MERCY CHELSEA,"775 S MAIN ST,CHELSEA,WASHTENAW,MI",MI,147613
MACOMB,SOUTHEAST MICHIGAN SURGICAL HOSPITAL LLC,"21230 DEQUINDRE ROAD,WARREN,MACOMB,MI",MI,676075
OAKLAND,"BEAUMONT HOSPITAL, TROY","44201 DEQUINDRE ROAD,TROY,OAKLAND,MI",MI,997021
WAYNE,BEAUMONT HOSPITAL - TAYLOR,"10000 TELEGRAPH ROAD,TAYLOR,WAYNE,MI",MI,2320654
WAYNE,DETROIT RECEIVING HOSPITAL,"4201 ST ANTOINE ST - 2C,DETROIT,WAYNE,MI",MI,2320654
SAGINAW,HEALTHSOURCE SAGINAW,"3340 HOSPITAL ROAD,SAGINAW,SAGINAW,MI",MI,100987
OAKLAND,HURON VALLEY-SINAI HOSPITAL,"ONE WILLIAM CARLS DRIVE,COMMERCE TOWNSHIP,OAKLAND,MI",MI,997021
LIVINGSTON,ASCENSION BRIGHTON CENTER FOR RECOVERY,"12851 GRAND RIVER RD,BRIGHTON,LIVINGSTON,MI",MI,63050
WAYNE,KARMANOS CANCER CENTER,"4100 JOHN R,DETROIT,WAYNE,MI",MI,2320654
OAKLAND,SURGEONS CHOICE MEDICAL CENTER,"22401 FOSTER WINTER DRIVE,SOUTHFIELD,OAKLAND,MI",MI,997021
OAKLAND,HENRY FORD WEST BLOOMFIELD HOSPITAL,"6777 WEST MAPLE ROAD,WEST BLOOMFIELD,OAKLAND,MI",MI,997021
MANISTEE,MUNSON HEALTHCARE MANISTEE HOSPITAL,"1465 E PARKDALE AVE,MANISTEE,MANISTEE,MI",MI,1539
BENZIE,PAUL OLIVER MEMORIAL HOSPITAL,"224 PARK AVENUE,FRANKFORT,BENZIE,MI",MI,617
KALKASKA,KALKASKA MEMORIAL HEALTH CENTER,"419 S CORAL,KALKASKA,KALKASKA,MI",MI,2671
SCHOOLCRAFT,SCHOOLCRAFT MEMORIAL HOSPITAL,"7870W US HIGHWAY 2,MANISTIQUE,SCHOOLCRAFT,MI",MI,426
LUCE,HELEN NEWBERRY JOY HOSPITAL,"502 W HARRIE ST,NEWBERRY,LUCE,MI",MI,235
ARENAC,SAINT MARY'S STANDISH COMMUNITY HOSPITAL,"805 W CEDAR ST,STANDISH,ARENAC,MI",MI,3076
MACKINAC,MACKINAC STRAITS HOSPITAL AND HEALTH CENTER,"1140 N STATE STREET,SAINT IGNACE,MACKINAC,MI",MI,731
BARAGA,BARAGA COUNTY MEMORIAL HOSPITAL,"18341 US HIGHWAY 41,L' ANSE,BARAGA,MI",MI,178
ALGER,MUNISING MEMORIAL HOSPITAL,"1500 SAND POINT RD,MUNISING,ALGER,MI",MI,120
ONTONAGON,ASPIRUS ONTONAGON HOSPITAL INC,"601 S SEVENTH ST,ONTONAGON,ONTONAGON,MI",MI,17
HURON,SCHEURER HOSPITAL,"170 N CASEVILLE RD,PIGEON,HURON,MI",MI,14249
SANILAC,DECKERVILLE COMMUNITY HOSPITAL,"3559 PINE ST,DECKERVILLE,SANILAC,MI",MI,4415
MONTCALM,SHERIDAN COMMUNITY HOSPITAL,"301 N MAIN ST,SHERIDAN,MONTCALM,MI",MI,7244
HURON,HARBOR BEACH COMMUNITY HOSPITAL,"210 S FIRST ST,HARBOR BEACH,HURON,MI",MI,14249
SANILAC,MCKENZIE HEALTH SYSTEM,"120 N DELAWARE STREET,SANDUSKY,SANILAC,MI",MI,4415
TUSCOLA,HILLS & DALES GENERAL HOSPITAL,"4675 HILL STREET,CASS CITY,TUSCOLA,MI",MI,17750
MONTCALM,SPECTRUM HEALTH KELSEY HOSPITAL,"418 WASHINGTON,LAKEVIEW,MONTCALM,MI",MI,7244
IRON,"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC","1400 W ICE LAKE ROAD,IRON RIVER,IRON,MI",MI,15242
HOUGHTON,ASPIRUS KEWEENAW HOSPITAL AND CLINICS,"205 OSCEOLA,LAURIUM,HOUGHTON,MI",MI,889
OCEANA,MERCY HEALTH LAKESHORE CAMPUS,"72 SOUTH STATE STREET,SHELBY,OCEANA,MI",MI,13812
MARQUETTE,BELL HOSPITAL,"901 LAKESHORE DRIVE,ISHPEMING,MARQUETTE,MI",MI,7208
OSCEOLA,SPECTRUM HEALTH REED CITY HOSPITAL,"300 N PATTERSON, PO BOX 75,REED CITY,OSCEOLA,MI",MI,146353
EATON,EATON RAPIDS MEDICAL CENTER,"1500 S MAIN STREET,EATON RAPIDS,EATON,MI",MI,22408
GLADWIN,MIDMICHIGAN MEDICAL CENTER-GLADWIN,"515 QUARTER STREET,GLADWIN,GLADWIN,MI",MI,1951
EATON,SPARROW EATON HOSPITAL,"321 E HARRIS STREET,CHARLOTTE,EATON,MI",MI,22408
ALLEGAN,ALLEGAN GENERAL HOSPITAL,"555 LINN STREET,ALLEGAN,ALLEGAN,MI",MI,22165
TUSCOLA,MCLAREN CARO REGION,"401 N HOOPER ST,CARO,TUSCOLA,MI",MI,17750
SANILAC,MARLETTE REGIONAL HOSPITAL,"2770 MAIN STREET,MARLETTE,SANILAC,MI",MI,4415
IONIA,SPARROW IONIA HOSPITAL,"3565 S STATE ROAD,IONIA,IONIA,MI",MI,14068
VAN BUREN,BRONSON LAKEVIEW HOSPITAL,"408 HAZEN STREET,PAW PAW,VAN BUREN,MI",MI,20284
GOGEBIC,ASPIRUS IRONWOOD HOSPITAL,"N10561 GRAND VIEW LANE,IRONWOOD,GOGEBIC,MI",MI,726
LENAWEE,PROMEDICA HERRICK HOSPITAL,"500 E POTTAWATAMIE STREET,TECUMSEH,LENAWEE,MI",MI,17004
DELTA,OSF ST FRANCIS HOSPITAL AND MEDICAL GROUP,"3401 LUDINGTON ST,ESCANABA,DELTA,MI",MI,8630
NEWAYGO,SPECTRUM HEALTH GERBER MEMORIAL,"212 S SULLIVAN ST,FREMONT,NEWAYGO,MI",MI,9880
BARRY,SPECTRUM HEALTH PENNOCK,"1009 W GREEN ST,HASTINGS,BARRY,MI",MI,10360
WAYNE,CHILDREN'S HOSPITAL OF MICHIGAN,"3901 BEAUBIEN STREET,DETROIT,WAYNE,MI",MI,2320654
KENT,PINE REST CHRISTIAN MENTAL HEALTH SERVICES,"300 - 68TH STREET, SE,GRAND RAPIDS,KENT,MI",MI,585984
OAKLAND,HENRY FORD KINGSWOOD HOSPITAL,"10300 W EIGHT MILE ROAD,FERNDALE,OAKLAND,MI",MI,997021
MACOMB,HARBOR OAKS HOSPITAL,"35031 23 MILE RD,NEW BALTIMORE,MACOMB,MI",MI,676075
OAKLAND,HAVENWYCK HOSPITAL,"1525 UNIVERSITY DRIVE,AUBURN HILLS,OAKLAND,MI",MI,997021
TUSCOLA,CARO CENTER,"2000 CHAMBERS, BOX A,CARO,TUSCOLA,MI",MI,17750
KALAMAZOO,KALAMAZOO REGIONAL PSYCHIATRIC HOSPITAL,"1312 OAKLAND DR,KALAMAZOO,KALAMAZOO,MI",MI,78599
KENT,FOREST VIEW PSYCHIATRIC HOSPITAL,"1055 MEDICAL PARK SE,GRAND RAPIDS,KENT,MI",MI,585984
WAYNE,WALTER P REUTHER PSYCHIATRIC HOSPITAL,"30901 PALMER RD,WESTLAND,WAYNE,MI",MI,2320654
WAYNE,BCA STONECREST CENTER,"15000 GRATIOT AVENUE,DETROIT,WAYNE,MI",MI,2320654
WAYNE,SAMARITAN BEHAVIORAL CENTER,"5555 CONNER AVENUE, SUITE 3N,DETROIT,WAYNE,MI",MI,2320654
WASHTENAW,THE CENTER FOR FORENSIC PSYCHIATRY,"8303 PLATT ROAD,SALINE,WASHTENAW,MI",MI,147613
MACOMB,THE BEHAVIORAL CENTER OF MICHIGAN,"4050 E 12 MILE ROAD,WARREN,MACOMB,MI",MI,676075
HENNEPIN,NORTH MEMORIAL HEALTH,"3300 OAKDALE NORTH,ROBBINSDALE,HENNEPIN,MN",MN,749386
ST. LOUIS,ESSENTIA HEALTH ST MARY'S MEDICAL CENTER,"407 EAST THIRD STREET,DULUTH,ST. LOUIS,MN",MN,508995
HENNEPIN,HENNEPIN COUNTY MEDICAL CENTER 1,"701 PARK AVENUE,MINNEAPOLIS,HENNEPIN,MN",MN,749386
OLMSTED,OLMSTED MEDICAL CENTER,"1650 FOURTH STREET SOUTHEAST,ROCHESTER,OLMSTED,MN",MN,68240
OLMSTED,MAYO CLINIC HOSPITAL ROCHESTER,"1216 SECOND STREET SOUTHWEST,ROCHESTER,OLMSTED,MN",MN,68240
RICE,NORTHFIELD HOSPITAL,"2000 NORTH AVENUE,NORTHFIELD,RICE,MN",MN,45007
GOODHUE,MAYO CLINIC HEALTH SYSTEM IN RED WING,"701 HEWITT BOULEVARD,RED WING,GOODHUE,MN",MN,7197
ST. LOUIS,ESSENTIA HEALTH DULUTH,"502 EAST SECOND STREET,DULUTH,ST. LOUIS,MN",MN,508995
ISANTI,CAMBRIDGE MEDICAL CENTER,"701 SOUTH DELLWOOD AVENUE,CAMBRIDGE,ISANTI,MN",MN,3723
NOBLES,SANFORD MEDICAL CENTER WORTHINGTON,"1018 SIXTH AVENUE PO BOX 997,WORTHINGTON,NOBLES,MN",MN,126103
DOUGLAS,ALOMERE HEALTH,"111 17TH AVENUE EAST,ALEXANDRIA,DOUGLAS,MN",MN,606395
STEARNS,ST CLOUD HOSPITAL,"1406 6TH AVE NORTH,SAINT CLOUD,STEARNS,MN",MN,161247
RAMSEY,ALLINA UNITED HOSPITAL,"333 NORTH SMITH AVENUE,SAINT PAUL,RAMSEY,MN",MN,276666
ST. LOUIS,UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS,"750 EAST 34TH ST,HIBBING,ST. LOUIS,MN",MN,508995
FREEBORN,MAYO CLINIC HEALTH SYSTEM - ALBERT LEA AND AUSTIN,"404 WEST FOUNTAIN STREET,ALBERT LEA,FREEBORN,MN",MN,15372
WINONA,WINONA HEALTH SERVICES,"855 MANKATO AVENUE,WINONA,WINONA,MN",MN,9196
ST. LOUIS,ST LUKES HOSPITAL,"915 EAST 1ST STREET,DULUTH,ST. LOUIS,MN",MN,508995
OTTER TAIL,LAKE REGION HEALTHCARE CORPORATION,"712 SOUTH CASCADE,FERGUS FALLS,OTTER TAIL,MN",MN,5975
HENNEPIN,PARK NICOLLET METHODIST HOSPITAL,"6500 EXCELSIOR BLVD,SAINT LOUIS PARK,HENNEPIN,MN",MN,749386
HENNEPIN,ABBOTT NORTHWESTERN HOSPITAL,"800 EAST 28TH STREET,MINNEAPOLIS,HENNEPIN,MN",MN,749386
DAKOTA,REGINA HOSPITAL,"1175 NININGER ROAD,HASTINGS,DAKOTA,MN",MN,263331
RAMSEY,ST JOSEPH'S HOSPITAL,"45 WEST 10TH STREET,SAINT PAUL,RAMSEY,MN",MN,276666
ITASCA,GRAND ITASCA CLINIC AND HOSPITAL,"1601 GOLF COURSE ROAD,GRAND RAPIDS,ITASCA,MN",MN,4504
WASHINGTON,LAKEVIEW MEMORIAL HOSPITAL,"927 WEST CHURCHILL STREET,STILLWATER,WASHINGTON,MN",MN,711487
STEELE,OWATONNA HOSPITAL,"2250 26TH STREET NORTHWEST,OWATONNA,STEELE,MN",MN,13816
RICE,DISTRICT ONE HOSPITAL,"200 STATE AVENUE,FARIBAULT,RICE,MN",MN,45007
WRIGHT,BUFFALO HOSPITAL,"303 CATLIN ST,BUFFALO,WRIGHT,MN",MN,47409
HENNEPIN,FAIRVIEW SOUTHDALE HOSPITAL,"6401 FRANCE AVENUE SOUTH,EDINA,HENNEPIN,MN",MN,749386
HENNEPIN,"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW","2450 RIVERSIDE AVENUE,MINNEAPOLIS,HENNEPIN,MN",MN,749386
ST. LOUIS,ESSENTIA HEALTH VIRGINIA,"901 9TH STREET NORTH,VIRGINIA,ST. LOUIS,MN",MN,508995
KANDIYOHI,CARRIS HEALTH LLC,"301 BECKER AVE SW,WILLMAR,KANDIYOHI,MN",MN,39610
BLUE EARTH,MAYO CLINIC HEALTH SYSTEM - MANKATO,"1025 MARSH STREET,MANKATO,BLUE EARTH,MN",MN,20645
BELTRAMI,SANFORD BEMIDJI MEDICAL CENTER,"1300 ANNE ST NW,BEMIDJI,BELTRAMI,MN",MN,2172
BECKER,ESSENTIA HEALTH ST MARYS - DETROIT LAKES,"1027 WASHINGTON AVE,DETROIT LAKES,BECKER,MN",MN,3586
SCOTT,ST FRANCIS REGIONAL MEDICAL CENTER,"1455 ST FRANCIS AVENUE,SHAKOPEE,SCOTT,MN",MN,176035
RAMSEY,REGIONS HOSPITAL,"640 JACKSON STREET,SAINT PAUL,RAMSEY,MN",MN,276666
ANOKA,MERCY HOSPITAL,"4050 COON RAPIDS BLVD,COON RAPIDS,ANOKA,MN",MN,128133
MILLE LACS,FAIRVIEW NORTHLAND REGIONAL HOSPITAL,"911 NORTHLAND DR,PRINCETON,MILLE LACS,MN",MN,1918
MARTIN,MAYO CLINIC HEALTH SYSTEM - FAIRMONT,"800 MEDICAL CENTER DRIVE, PO BOX 800,FAIRMONT,MARTIN,MN",MN,129688
BELTRAMI,RED LAKE HOSPITAL A,"PO BOX 497,REDLAKE,BELTRAMI,MN",MN,2172
DAKOTA,FAIRVIEW RIDGES HOSPITAL,"201 EAST NICOLLET BOULEVARD,BURNSVILLE,DAKOTA,MN",MN,263331
RAMSEY,HEALTHEAST ST JOHN'S HOSPITAL,"1575 BEAM AVENUE,MAPLEWOOD,RAMSEY,MN",MN,276666
WASHINGTON,HEALTHEAST WOODWINDS HOSPITAL,"1925 WOODWINDS DRIVE,WOODBURY,WASHINGTON,MN",MN,711487
HENNEPIN,MAPLE GROVE HOSPITAL,"9875 HOSPITAL DRIVE,MAPLE GROVE,HENNEPIN,MN",MN,749386
MAHNOMEN,MAHNOMEN HEALTH CENTER,"414 W JEFFERSON PO BOX 396,MAHNOMEN,MAHNOMEN,MN",MN,576
LYON,SANFORD TRACY,"251 FIFTH STREET EAST,TRACY,LYON,MN",MN,62054
TRAVERSE,SANFORD WHEATON MEDICAL CENTER,"401 12TH STREET NORTH,WHEATON,TRAVERSE,MN",MN,424
AITKIN,RIVERWOOD HEALTHCARE CENTER,"200 BUNKER HILL DRIVE,AITKIN,AITKIN,MN",MN,820
RENVILLE,RENVILLE COUNTY HOSPITAL AND CLINICS,"100 HEALTHY WAY,OLIVIA,RENVILLE,MN",MN,1617
LAKE,LAKE VIEW MEMORIAL HOSPITAL,"325 ELEVENTH AVE,TWO HARBORS,LAKE,MN",MN,1248599
PINE,ESSENTIA HEALTH SANDSTONE,"705 LUNDORFF DRIVE SOUTH,SANDSTONE,PINE,MN",MN,7921
SIBLEY,RIDGEVIEW SIBLEY MEDICAL CENTER,"601 WEST CHANDLER,ARLINGTON,SIBLEY,MN",MN,2233
ST. LOUIS,COOK HOSPITAL,"10 SE FIFTH ST,COOK,ST. LOUIS,MN",MN,508995
NORMAN,ESSENTIA HEALTH ADA,"201 9TH STREET WEST,ADA,NORMAN,MN",MN,1333
LAC QUI PARLE,JOHNSON MEMORIAL HOSPITAL,"1282 WALNUT STREET,DAWSON,LAC QUI PARLE,MN",MN,311
JACKSON,SANFORD JACKSON MEDICAL CENTER,"1430 NORTH HIGHWAY,JACKSON,JACKSON,MN",MN,269410
ITASCA,BIGFORK VALLEY HOSPITAL,"258 PINE TREE DRIVE PO BOX 258,BIGFORK,ITASCA,MN",MN,4504
ST. LOUIS,ELY BLOOMENSON COMMUNITY HOSPITAL,"328 WEST CONAN STREET,ELY,ST. LOUIS,MN",MN,508995
MURRAY,MURRAY COUNTY MEMORIAL HOSPITAL,"2042 JUNIPER AVENUE,SLAYTON,MURRAY,MN",MN,17376
POLK,RIVERVIEW HOSPITAL,"323 SOUTH MINNESOTA,CROOKSTON,POLK,MN",MN,678790
BIG STONE,HOLY TRINITY HOSPITAL & GRACE HOME,"115  SECOND STREET WEST, BOX 157,GRACEVILLE,BIG STONE,MN",MN,830
KOOCHICHING,RAINY LAKE MEDICAL CENTER,"1400 HIGHWAY 71,INTERNATIONAL FALLS,KOOCHICHING,MN",MN,848
WATONWAN,MADELIA COMMUNITY HOSPITAL,"121 DREW AVENUE SOUTHEAST,MADELIA,WATONWAN,MN",MN,9957
TODD,CENTRACARE HEALTH SYSTEM - LONG PRAIRIE,"50 CENTRACARE DRIVE,LONG PRAIRIE,TODD,MN",MN,27539
BROWN,SLEEPY EYE MEDICAL CENTER,"400 FOURTH AVENUE NORTHWEST,SLEEPY EYE,BROWN,MN",MN,248925
TODD,LAKEWOOD HEALTH SYSTEM,"49725 COUNTY ROAD 83,STAPLES,TODD,MN",MN,27539
STEARNS,CENTRACARE HEALTH SYSTEM - MELROSE HOSPITAL,"525 WEST MAIN STREET,MELROSE,STEARNS,MN",MN,161247
WATONWAN,MAYO CLINIC HEALTH SYSTEM - ST JAMES,"1101 MOULTON AND PARSONS DRIVE,ST JAMES,WATONWAN,MN",MN,9957
NICOLLET,RIVER'S EDGE HOSPITAL & CLINIC,"1900 NORTH SUNRISE DRIVE,ST PETER,NICOLLET,MN",MN,8415
WABASHA,ST ELIZABETH MEDICAL CENTER,"1200 GRANT BLVD W,WABASHA,WABASHA,MN",MN,2196
KITTSON,KITTSON MEMORIAL HOSPITAL,"1010 SOUTH BIRCH AVENUE,HALLOCK,KITTSON,MN",MN,119
MARSHALL,NORTH VALLEY HEALTH CENTER,"300 WEST GOOD SAMARITAN DRIVE,WARREN,MARSHALL,MN",MN,219020
WABASHA,MAYO CLINIC HEALTH SYSTEM - LAKE CITY,"500 WEST GRANT STREET,LAKE CITY,WABASHA,MN",MN,2196
LINCOLN,HENDRICKS COMMUNITY HOSPITAL,"503 E LINCOLN STREET,HENDRICKS,LINCOLN,MN",MN,205212
ST. LOUIS,ESSENTIA HEALTH NORTHERN PINES MEDICAL CENTER,"5211 HIGHWAY 110,AURORA,ST. LOUIS,MN",MN,508995
SWIFT,APPLETON MUNICIPAL HOSPITAL,"30 SOUTH BEHL STREET,APPLETON,SWIFT,MN",MN,1547
BIG STONE,ORTONVILLE AREA HEALTH SERVICES,"450 EASTVOLD AVE,ORTONVILLE,BIG STONE,MN",MN,830
ROSEAU,LIFECARE MEDICAL CENTER,"715 DELMORE DRIVE,ROSEAU,ROSEAU,MN",MN,657
WASECA,MAYO CLINIC HEALTH SYSTEM - WASECA,"501 NORTH STATE STREET,WASECA,WASECA,MN",MN,3298
GOODHUE,MAYO CLINIC HEALTH SYSTEM - CANNON FALLS,"32021 COUNTY 24 BOULEVARD,CANNON FALLS,GOODHUE,MN",MN,7197
LINCOLN,AVERA TYLER HOSPITAL,"240 WILLOW STREET,TYLER,LINCOLN,MN",MN,205212
STEARNS,CENTRA CARE HEALTH PAYNESVILLE,"200 1ST STREET WEST,PAYNESVILLE,STEARNS,MN",MN,161247
REDWOOD,"CARRIS HEALTH - REDWOOD, LLC","100 FALLWOOD ROAD,REDWOOD FALLS,REDWOOD,MN",MN,877
